lat,rmse
-60.0,0.6208309915765062
-58.0,0.5902232662983427
-56.0,0.7257470085793724
-54.0,0.8585496690166562
-52.0,1.090463093482604
-50.0,1.4047568047755912
-48.0,1.2343692497482759
-46.0,1.1876480565788188
-44.0,1.2845070097967128
-42.0,1.4054779327364924
-40.0,1.3761104776096351
-38.0,1.4060162577849766
-36.0,1.6400674460919165
-34.0,1.9177639528849484
-32.0,1.9793501029044094
-30.0,1.8538874182159553
-28.0,1.8672901744004051
-26.0,1.7150630856297766
-24.0,1.6676713520934967
-22.0,1.618173253638713
-20.0,1.5639114009373194
-18.0,1.6110339395325712
-16.0,1.9048438484354056
-14.0,1.8438354331728966
-12.0,2.2455665628899264
-10.0,1.8185761205112136
-8.0,1.8302821136834841
-6.0,2.028407819597133
-4.0,2.095850871973769
-2.0,2.307125949384763
0.0,2.2379883302315027
2.0,3.6680107061318457
4.0,3.5338874801330937
6.0,3.2199810114495864
8.0,2.398025594897513
10.0,1.8023528590710893
12.0,1.2570292940969428
14.0,1.152650694271618
